Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
402,0.0029,0.1117,1.0325,0.0328,-0.031,-0.0232
403,0.0555,0.1364,1.0531,0.0337,0.0284,-0.0308
404,0.0311,0.1104,1.0551,0.0019,-0.0172,0.0015
405,0.0345,0.1415,1.0339,-0.0023,-0.0001,-0.0052
406,0.0212,0.1163,1.0291,0.0391,-0.0202,-0.0232
407,0.0611,0.1462,1.0549,0.0368,0.0053,-0.0277
408,0.0819,0.1061,1.0496,-0.004,-0.0208,-0.0121
409,0.1263,0.1347,1.0187,0.0093,-0.0185,-0.0708
410,0.1534,0.1588,1.0303,0.0242,0.0186,-0.0461
411,0.1575,0.1603,1.0264,0.0471,-0.004,0.0186
412,0.1191,0.0966,1.0623,0.0003,-0.0123,-0.0039
413,0.2017,0.1393,1.0263,0.002,-0.0096,-0.0599
414,0.1376,0.112,1.0352,0.0088,0.0125,0.0493
415,0.1761,0.0946,1.0468,0.0354,-0.0205,-0.0915
